fecha,blockchain,token,nombre,precio,ranking,categoria
2024-05-01,aptos-ecosystem,BONK,Bonk,"$0,00002261",2,meme
2024-05-01,aptos-ecosystem,CDT,CheckDot,"$0,4435",14,ia
2024-05-01,aptos-ecosystem,MBX,Marblex,"$0,7529",6,game
2024-05-01,aptos-ecosystem,TIN,Token IN,"$0,05304",15,game
2024-05-01,aptos-ecosystem,PROPS,Propbase,"$0,1349",8,rwa
2024-05-01,arbitrum-ecosystem,PEPE,Pepe,$0.056616,7,meme
2024-05-01,arbitrum-ecosystem,BONK,Bonk,"$0,00002275",14,meme
2024-05-01,arbitrum-ecosystem,DOG,The Doge NFT,"$0,01262",42,meme
2024-05-01,arbitrum-ecosystem,LADYS,Milady Meme Coin,$0.061520,56,meme
2024-05-01,arbitrum-ecosystem,CAW,crow with knife,$0.061334,65,meme
2024-05-01,arbitrum-ecosystem,AIDOGE,ArbDoge AI,$0.093693,76,meme
2024-05-01,arbitrum-ecosystem,PEPE,Pepe,$0.056616,107,meme
2024-05-01,arbitrum-ecosystem,BONK,Bonk,"$0,00002275",114,meme
2024-05-01,arbitrum-ecosystem,DOG,The Doge NFT,"$0,01262",142,meme
2024-05-01,arbitrum-ecosystem,LADYS,Milady Meme Coin,$0.061520,156,meme
2024-05-01,arbitrum-ecosystem,CAW,crow with knife,$0.061334,165,meme
2024-05-01,arbitrum-ecosystem,AIDOGE,ArbDoge AI,$0.093693,176,meme
2024-05-01,arbitrum-ecosystem,PEPE,Pepe,$0.056616,207,meme
2024-05-01,arbitrum-ecosystem,BONK,Bonk,"$0,00002275",214,meme
2024-05-01,arbitrum-ecosystem,DOG,The Doge NFT,"$0,01262",242,meme
2024-05-01,arbitrum-ecosystem,LADYS,Milady Meme Coin,$0.061520,256,meme
2024-05-01,arbitrum-ecosystem,CAW,crow with knife,$0.061334,265,meme
2024-05-01,arbitrum-ecosystem,AIDOGE,ArbDoge AI,$0.093693,276,meme
2024-05-01,arbitrum-ecosystem,PEPE,Pepe,$0.056616,307,meme
2024-05-01,arbitrum-ecosystem,BONK,Bonk,"$0,00002275",314,meme
2024-05-01,arbitrum-ecosystem,DOG,The Doge NFT,"$0,01262",342,meme
2024-05-01,arbitrum-ecosystem,LADYS,Milady Meme Coin,$0.061520,356,meme
2024-05-01,arbitrum-ecosystem,CAW,crow with knife,$0.061334,365,meme
2024-05-01,arbitrum-ecosystem,AIDOGE,ArbDoge AI,$0.093693,376,meme
2024-05-01,arbitrum-ecosystem,PEPE,Pepe,$0.056616,407,meme
2024-05-01,arbitrum-ecosystem,BONK,Bonk,"$0,00002275",414,meme
2024-05-01,arbitrum-ecosystem,DOG,The Doge NFT,"$0,01262",442,meme
2024-05-01,arbitrum-ecosystem,LADYS,Milady Meme Coin,$0.061520,456,meme
2024-05-01,arbitrum-ecosystem,CAW,crow with knife,$0.061334,465,meme
